State,City,Date,Temperature (°C),Rainfall (mm),Humidity (%),Condition
Delhi (NCT),Dwarka,2020-03-17,36.9,10.5,22.6,Dry
West Bengal,Darjeeling,2020-03-16,44.4,11.8,49.3,Hot
Rajasthan,Jaipur,2020-03-15,29.9,9.5,33.7,Clear
Rajasthan,Udaipur,2020-03-15,41.0,8.5,44.8,Hot
Andhra Pradesh,Visakhapatnam,2020-03-14,35.4,2.6,42.5,Dry
Tamil Nadu,Madurai,2020-03-14,38.9,6.4,42.7,Sunny
Kerala,Kochi,2020-03-13,38.3,12.0,22.9,Dry
Maharashtra,Pune,2020-03-13,29.4,9.0,33.2,Hot
Tripura,Agartala,2020-03-13,29.4,9.0,33.2,Hot
Uttar Pradesh,Noida,2020-03-13,33.5,7.0,20.3,Dry
Bihar,Bhagalpur,2020-03-12,33.8,7.4,19.5,Sunny
Gujarat,Vadodara,2020-03-12,45.4,6.9,31.1,Sunny
Assam,Dibrugarh,2020-03-11,35.4,9.0,21.1,Sunny
Kerala,Thiruvananthapuram,2020-03-11,36.1,9.4,25.1,Hot
Arunachal Pradesh,Naharlagun,2020-03-10,34.4,1.6,41.5,Hot
Assam,Guwahati,2020-03-10,44.0,11.6,46.7,Hot
Goa,Margao,2020-03-10,35.3,3.0,36.9,Sunny
Madhya Pradesh,Jabalpur,2020-03-10,36.4,9.8,24.3,Clear
Andhra Pradesh,Vijayawada,2020-03-09,38.4,5.7,44.4,Dry
Karnataka,Mysuru,2020-03-09,32.1,11.7,35.9,Sunny
Bihar,Patna,2020-03-08,45.9,1.5,47.5,Clear
Chhattisgarh,Raipur,2020-03-07,43.6,5.0,30.4,Sunny
Maharashtra,Nagpur,2020-03-07,32.0,5.5,18.8,Sunny
Tamil Nadu,Tiruchirappalli,2020-03-07,35.1,8.4,24.1,Dry
Bihar,Gaya,2020-03-06,34.3,2.0,35.9,Clear
Karnataka,Hubballi,2020-03-05,45.9,1.3,49.7,Clear
Kerala,Kozhikode,2020-03-05,45.5,7.0,31.2,Hot
Rajasthan,Jodhpur,2020-03-04,40.1,7.6,43.9,Sunny
Madhya Pradesh,Bhopal,2020-03-03,31.9,11.4,36.8,Sunny
Manipur,Imphal,2020-03-03,44.1,11.7,46.8,Clear
West Bengal,Kolkata,2020-03-03,31.0,4.5,17.8,Clear
Karnataka,Bengaluru,2020-03-02,40.5,1.9,27.3,Hot
Uttarakhand,Dehradun,2020-03-02,33.5,0.9,38.4,Sunny
West Bengal,Howrah,2020-03-02,39.6,7.1,43.4,Dry
Jammu and Kashmir,Jammu,2020-03-02,30.2,3.6,18.1,Sunny
Punjab,Amritsar,2020-03-01,36.6,10.2,22.3,Sunny
Uttar Pradesh,Agra,2020-02-29,13.4,0.9,57.9,Cloudy
Himachal Pradesh,Dharamshala,2020-02-28,22.7,3.0,51.9,Clear
Madhya Pradesh,Indore,2020-02-27,25.0,6.2,52.4,Cloudy
Chhattisgarh,Bilaspur,2020-02-26,19.7,2.7,30.0,Foggy
Maharashtra,Nashik,2020-02-26,21.9,1.3,31.3,Clear
Odisha,Bhubaneswar,2020-02-26,21.9,1.3,31.3,Clear
Odisha,Rourkela,2020-02-26,9.8,3.6,36.3,Cloudy
Chhattisgarh,Durg,2020-02-25,12.4,8.0,56.9,Sunny
Delhi (NCT),New Delhi,2020-02-25,12.4,8.0,56.9,Sunny
Goa,Panaji,2020-02-24,25.3,3.8,50.0,Foggy
Haryana,Gurugram,2020-02-24,20.9,6.6,47.4,Foggy
Maharashtra,Mumbai,2020-02-24,21.4,0.8,30.8,Cloudy
Rajasthan,Kota,2020-02-24,16.2,0.1,59.8,Cloudy
Punjab,Ludhiana,2020-02-23,25.2,1.0,33.7,Sunny
Tamil Nadu,Chennai,2020-02-22,9.8,5.4,54.3,Cloudy
Uttarakhand,Nainital,2020-02-22,25.6,6.8,53.0,Sunny
Gujarat,Rajkot,2020-02-21,17.3,1.2,60.9,Foggy
Andhra Pradesh,Tirupati,2020-02-20,11.8,4.7,40.1,Cloudy
Jharkhand,Dhanbad,2020-02-20,23.6,1.2,50.1,Sunny
Nagaland,Kohima,2020-02-20,22.6,6.5,31.1,Cloudy
Tamil Nadu,Coimbatore,2020-02-20,25.1,6.3,52.5,Clear
Uttar Pradesh,Lucknow,2020-02-19,12.4,3.5,57.8,Sunny
Delhi (NCT),Rohini,2020-02-19,9.9,3.7,36.4,Clear
Haryana,Panipat,2020-02-18,25.8,1.6,34.3,Cloudy
Jharkhand,Ranchi,2020-02-18,15.7,1.4,42.2,Foggy
Madhya Pradesh,Gwalior,2020-02-18,17.7,0.7,63.1,Foggy
Mizoram,Aizawl,2020-02-18,18.4,2.3,62.0,Sunny
Sikkim,Gangtok,2020-02-17,16.3,0.2,59.9,Clear
Uttar Pradesh,Kanpur,2020-02-17,18.8,0.0,46.2,Sunny
Jammu and Kashmir,Srinagar,2020-02-17,17.1,3.7,63.4,Clear
Ladakh,Kargil,2020-02-17,19.5,1.6,45.1,Clear
Jharkhand,Jamshedpur,2020-02-16,24.1,5.3,51.5,Foggy
West Bengal,Siliguri,2020-02-16,16.7,6.0,44.1,Clear
Ladakh,Leh,2020-02-16,23.3,1.8,48.0,Foggy
Punjab,Chandigarh,2020-02-14,25.8,3.4,52.3,Cloudy
Telangana,Warangal,2020-02-14,18.9,6.4,63.4,Foggy
Gujarat,Ahmedabad,2020-02-13,23.7,1.3,50.2,Foggy
Meghalaya,Shillong,2020-02-13,20.5,8.0,65.0,Foggy
Uttar Pradesh,Varanasi,2020-02-12,19.9,2.9,30.2,Clear
Assam,Silchar,2020-02-11,21.7,3.8,47.3,Foggy
Haryana,Faridabad,2020-02-11,23.2,0.8,49.7,Sunny
Karnataka,Mangaluru,2020-02-11,13.6,2.9,41.0,Sunny
Nagaland,Dimapur,2020-02-11,15.8,1.5,42.3,Cloudy
Uttarakhand,Haridwar,2020-02-11,24.7,5.9,52.1,Clear
Andhra Pradesh,Guntur,2020-02-10,8.3,7.5,53.7,Clear
Gujarat,Surat,2020-02-09,24.9,7.0,50.5,Foggy
Odisha,Cuttack,2020-02-09,14.3,6.3,57.9,Clear
Punjab,Jalandhar,2020-02-09,15.3,1.0,41.8,Foggy
Delhi (NCT),Dwarka,2020-02-09,25.4,1.2,33.9,Cloudy
West Bengal,Darjeeling,2020-02-08,15.2,6.3,60.6,Sunny
Rajasthan,Jaipur,2020-02-07,18.5,4.2,45.0,Foggy
Rajasthan,Udaipur,2020-02-07,11.6,7.2,56.1,Sunny
Andhra Pradesh,Visakhapatnam,2020-02-06,24.6,4.9,53.8,Cloudy
Tamil Nadu,Madurai,2020-02-06,9.5,5.1,54.0,Clear
Kerala,Kochi,2020-02-05,8.6,6.9,34.2,Cloudy
Maharashtra,Pune,2020-02-05,18.0,3.7,44.5,Sunny
Tripura,Agartala,2020-02-05,18.0,3.7,44.5,Sunny
Uttar Pradesh,Noida,2020-02-05,22.2,1.6,31.6,Cloudy
Bihar,Bhagalpur,2020-02-04,22.3,6.2,30.8,Clear
Gujarat,Vadodara,2020-02-04,15.9,1.6,42.4,Clear
Assam,Dibrugarh,2020-02-03,23.9,7.8,32.4,Clear
Kerala,Thiruvananthapuram,2020-02-03,25.2,3.7,36.4,Sunny
Arunachal Pradesh,Naharlagun,2020-02-02,23.6,3.9,52.8,Sunny
Assam,Guwahati,2020-02-02,14.4,6.4,58.0,Sunny
Goa,Margao,2020-02-02,23.5,2.0,48.2,Clear
Madhya Pradesh,Jabalpur,2020-02-02,25.3,0.2,35.6,Foggy
Andhra Pradesh,Vijayawada,2020-02-01,9.4,4.1,55.7,Cloudy
Karnataka,Mysuru,2020-02-01,20.7,6.4,47.2,Clear
Bihar,Patna,2020-01-31,16.1,4.5,58.8,Foggy
Chhattisgarh,Raipur,2020-01-30,14.3,3.6,41.7,Clear
Maharashtra,Nagpur,2020-01-30,20.7,0.1,30.1,Clear
Tamil Nadu,Tiruchirappalli,2020-01-30,24.2,2.7,35.4,Cloudy
Bihar,Gaya,2020-01-29,22.5,1.0,47.2,Foggy
Karnataka,Hubballi,2020-01-28,16.5,4.0,61.0,Foggy
Kerala,Kozhikode,2020-01-28,16.0,1.7,42.5,Sunny
Rajasthan,Jodhpur,2020-01-27,10.7,6.3,55.2,Clear
Madhya Pradesh,Bhopal,2020-01-26,20.7,1.9,48.1,Clear
Manipur,Imphal,2020-01-26,14.5,6.5,58.1,Foggy
West Bengal,Kolkata,2020-01-26,19.7,7.2,64.2,Foggy
Karnataka,Bengaluru,2020-01-25,11.2,0.5,38.6,Sunny
Uttarakhand,Dehradun,2020-01-25,22.3,3.5,49.7,Clear
West Bengal,Howrah,2020-01-25,10.2,5.8,54.7,Cloudy
Jammu and Kashmir,Jammu,2020-01-25,19.1,2.1,64.5,Clear
Punjab,Amritsar,2020-01-24,25.1,0.9,33.6,Clear
Uttar Pradesh,Agra,2020-01-23,9.7,5.3,54.2,Foggy
Himachal Pradesh,Dharamshala,2020-01-22,19.0,7.4,48.2,Cloudy
Madhya Pradesh,Indore,2020-01-21,21.3,2.5,48.7,Foggy
Chhattisgarh,Bilaspur,2020-01-20,16.0,7.1,61.4,Sunny
Maharashtra,Nashik,2020-01-20,18.2,5.7,62.7,Cloudy
Odisha,Bhubaneswar,2020-01-20,18.2,5.7,62.7,Cloudy
Odisha,Rourkela,2020-01-20,24.1,8.0,32.6,Foggy
Chhattisgarh,Durg,2020-01-19,8.7,4.3,53.2,Clear
Delhi (NCT),New Delhi,2020-01-19,8.7,4.3,53.2,Clear
Goa,Panaji,2020-01-18,21.6,0.1,46.3,Sunny
Haryana,Gurugram,2020-01-18,17.2,2.9,43.7,Sunny
Maharashtra,Mumbai,2020-01-18,17.7,5.2,62.2,Foggy
Rajasthan,Kota,2020-01-18,12.5,4.5,56.1,Foggy
Punjab,Ludhiana,2020-01-17,21.5,5.4,30.0,Clear
Tamil Nadu,Chennai,2020-01-16,24.1,1.7,50.6,Foggy
Uttarakhand,Nainital,2020-01-16,21.9,3.1,49.3,Clear
Gujarat,Rajkot,2020-01-15,13.6,5.6,57.2,Sunny
Andhra Pradesh,Tirupati,2020-01-14,8.1,1.0,36.4,Foggy
Jharkhand,Dhanbad,2020-01-14,19.9,5.6,46.4,Clear
Nagaland,Kohima,2020-01-14,18.9,2.8,62.5,Foggy
Tamil Nadu,Coimbatore,2020-01-14,21.4,2.6,48.8,Cloudy
Uttar Pradesh,Lucknow,2020-01-13,8.7,7.9,54.1,Clear
Delhi (NCT),Rohini,2020-01-13,24.2,0.0,32.7,Cloudy
Haryana,Panipat,2020-01-12,22.1,6.0,30.6,Foggy
Jharkhand,Ranchi,2020-01-12,12.0,5.8,38.5,Sunny
Madhya Pradesh,Gwalior,2020-01-12,14.0,5.1,59.4,Sunny
Mizoram,Aizawl,2020-01-12,14.7,6.7,58.3,Clear
Sikkim,Gangtok,2020-01-11,12.6,4.6,56.2,Cloudy
Uttar Pradesh,Kanpur,2020-01-11,15.1,4.4,42.5,Clear
Jammu and Kashmir,Srinagar,2020-01-11,13.4,0.0,59.7,Cloudy
Ladakh,Kargil,2020-01-11,15.8,6.0,41.4,Cloudy
Jharkhand,Jamshedpur,2020-01-10,20.4,1.6,47.8,Sunny
West Bengal,Siliguri,2020-01-10,13.0,2.3,40.4,Cloudy
Ladakh,Leh,2020-01-10,19.6,6.2,44.3,Sunny
Punjab,Chandigarh,2020-01-08,22.1,7.8,48.6,Foggy
Telangana,Warangal,2020-01-08,15.2,2.7,59.7,Sunny
Gujarat,Ahmedabad,2020-01-07,20.0,5.7,46.5,Sunny
Meghalaya,Shillong,2020-01-07,16.8,4.3,61.3,Sunny
Uttar Pradesh,Varanasi,2020-01-06,16.2,7.3,61.6,Cloudy
Assam,Silchar,2020-01-05,18.0,0.1,43.6,Sunny
Haryana,Faridabad,2020-01-05,19.5,5.2,46.0,Clear
Karnataka,Mangaluru,2020-01-05,9.9,7.3,37.3,Clear
Nagaland,Dimapur,2020-01-05,12.1,5.9,38.6,Foggy
Uttarakhand,Haridwar,2020-01-05,21.0,2.2,48.4,Cloudy
Andhra Pradesh,Guntur,2020-01-04,22.6,3.8,50.0,Cloudy
Gujarat,Surat,2020-01-03,21.2,3.3,46.8,Sunny
Odisha,Cuttack,2020-01-03,10.6,2.6,54.2,Cloudy
Punjab,Jalandhar,2020-01-03,11.6,5.4,38.1,Sunny
Delhi (NCT),Dwarka,2020-01-03,21.7,5.6,30.2,Foggy
West Bengal,Darjeeling,2020-01-02,11.5,2.6,56.9,Clear
Rajasthan,Jaipur,2020-01-01,14.8,0.5,41.3,Sunny
Rajasthan,Udaipur,2020-01-01,25.9,3.5,52.4,Clear
Andhra Pradesh,Visakhapatnam,2019-12-31,20.9,1.2,50.1,Foggy
Tamil Nadu,Madurai,2019-12-31,23.8,1.4,50.3,Cloudy
Kerala,Kochi,2019-12-30,22.9,3.2,30.5,Foggy
Maharashtra,Pune,2019-12-30,14.3,0.0,40.8,Clear
Tripura,Agartala,2019-12-30,14.3,0.0,40.8,Clear
Uttar Pradesh,Noida,2019-12-30,18.5,6.0,63.0,Foggy
Bihar,Bhagalpur,2019-12-29,18.6,2.5,62.2,Cloudy
Gujarat,Vadodara,2019-12-29,12.2,6.0,38.7,Cloudy
Assam,Dibrugarh,2019-12-28,20.2,4.1,63.8,Cloudy
Kerala,Thiruvananthapuram,2019-12-28,21.5,0.0,32.7,Clear
Arunachal Pradesh,Naharlagun,2019-12-27,19.9,0.2,49.1,Clear
Assam,Guwahati,2019-12-27,10.7,2.7,54.3,Clear
Goa,Margao,2019-12-27,19.8,6.4,44.5,Cloudy
Madhya Pradesh,Jabalpur,2019-12-27,21.6,4.6,31.9,Sunny
Andhra Pradesh,Vijayawada,2019-12-26,23.7,0.4,52.0,Foggy
Karnataka,Mysuru,2019-12-26,17.0,2.7,43.5,Cloudy
Bihar,Patna,2019-12-25,12.4,0.8,55.1,Sunny
Chhattisgarh,Raipur,2019-12-24,10.6,8.0,38.0,Cloudy
Maharashtra,Nagpur,2019-12-24,17.0,4.5,61.5,Cloudy
Tamil Nadu,Tiruchirappalli,2019-12-24,20.5,7.1,31.7,Foggy
Bihar,Gaya,2019-12-23,18.8,5.4,43.5,Sunny
Karnataka,Hubballi,2019-12-22,12.8,0.3,57.3,Sunny
Kerala,Kozhikode,2019-12-22,12.3,6.1,38.8,Clear
Rajasthan,Jodhpur,2019-12-21,25.0,2.6,51.5,Cloudy
Madhya Pradesh,Bhopal,2019-12-20,17.0,6.3,44.4,Cloudy
Manipur,Imphal,2019-12-20,10.8,2.8,54.4,Sunny
West Bengal,Kolkata,2019-12-20,16.0,3.5,60.5,Sunny
Karnataka,Bengaluru,2019-12-19,25.5,4.9,34.9,Clear
Uttarakhand,Dehradun,2019-12-19,18.6,7.9,46.0,Cloudy
West Bengal,Howrah,2019-12-19,24.5,2.1,51.0,Foggy
Punjab,Amritsar,2019-12-18,21.4,5.3,65.0,Cloudy
Uttar Pradesh,Agra,2019-12-17,24.0,1.6,50.5,Sunny
Himachal Pradesh,Dharamshala,2019-12-16,15.3,3.7,44.5,Foggy
Madhya Pradesh,Indore,2019-12-15,17.6,6.9,45.0,Sunny
Chhattisgarh,Bilaspur,2019-12-14,12.3,3.4,57.7,Clear
Maharashtra,Nashik,2019-12-14,14.5,2.0,59.0,Foggy
Odisha,Bhubaneswar,2019-12-14,14.5,2.0,59.0,Foggy
Odisha,Rourkela,2019-12-14,20.4,4.3,64.0,Sunny
Chhattisgarh,Durg,2019-12-13,23.0,0.6,49.5,Cloudy
Delhi (NCT),New Delhi,2019-12-13,23.0,0.6,49.5,Cloudy
Goa,Panaji,2019-12-12,17.9,4.5,42.6,Clear
Haryana,Gurugram,2019-12-12,13.5,7.3,40.0,Clear
Maharashtra,Mumbai,2019-12-12,14.0,1.5,58.5,Sunny
Rajasthan,Kota,2019-12-12,8.8,0.8,52.4,Sunny
Punjab,Ludhiana,2019-12-11,17.8,1.7,61.4,Cloudy
Tamil Nadu,Chennai,2019-12-10,20.4,6.1,46.9,Sunny
Uttarakhand,Nainital,2019-12-10,18.2,7.5,45.6,Cloudy
Gujarat,Rajkot,2019-12-09,9.9,1.9,53.5,Clear
Andhra Pradesh,Tirupati,2019-12-08,22.4,5.4,32.7,Sunny
Jharkhand,Dhanbad,2019-12-08,16.2,1.9,42.7,Cloudy
Nagaland,Kohima,2019-12-08,15.2,7.2,58.8,Sunny
Tamil Nadu,Coimbatore,2019-12-08,17.7,7.0,45.1,Foggy
Uttar Pradesh,Lucknow,2019-12-07,23.0,4.2,50.4,Cloudy
Delhi (NCT),Rohini,2019-12-07,20.5,4.4,64.1,Foggy
Haryana,Panipat,2019-12-06,18.4,2.3,62.0,Sunny
Jharkhand,Ranchi,2019-12-06,8.3,2.1,34.8,Clear
Madhya Pradesh,Gwalior,2019-12-06,10.3,1.4,55.7,Clear
Mizoram,Aizawl,2019-12-06,11.0,3.0,54.6,Cloudy
Sikkim,Gangtok,2019-12-05,8.9,0.9,52.5,Foggy
Uttar Pradesh,Kanpur,2019-12-05,11.4,0.7,38.8,Cloudy
Jammu and Kashmir,Srinagar,2019-12-05,9.7,4.4,56.0,Foggy
Ladakh,Kargil,2019-12-05,12.1,2.3,37.7,Foggy
Jharkhand,Jamshedpur,2019-12-04,16.7,6.0,44.1,Clear
West Bengal,Siliguri,2019-12-04,9.3,6.7,36.7,Foggy
Ladakh,Leh,2019-12-04,15.9,2.5,40.6,Clear
Punjab,Chandigarh,2019-12-02,18.4,4.1,44.9,Sunny
Telangana,Warangal,2019-12-02,11.5,7.1,56.0,Clear
Gujarat,Ahmedabad,2019-12-01,16.3,2.0,42.8,Clear
Meghalaya,Shillong,2019-12-01,13.1,0.6,57.6,Clear
Uttar Pradesh,Varanasi,2019-11-30,21.8,3.9,67.9,Sunny
Assam,Silchar,2019-11-29,24.2,16.1,70.0,Humid
Haryana,Faridabad,2019-11-29,31.5,3.4,47.3,Clear
Karnataka,Mangaluru,2019-11-29,27.7,4.7,73.7,Clear
Nagaland,Dimapur,2019-11-29,24.1,21.1,70.0,Cloudy
Uttarakhand,Haridwar,2019-11-29,23.7,15.8,54.7,Sunny
Andhra Pradesh,Guntur,2019-11-28,25.3,17.4,56.3,Sunny
Gujarat,Surat,2019-11-27,27.4,19.3,73.2,Humid
Odisha,Cuttack,2019-11-27,19.7,1.6,50.5,Sunny
Punjab,Jalandhar,2019-11-27,23.6,20.6,69.5,Humid
Delhi (NCT),Dwarka,2019-11-27,30.8,12.7,61.6,Cloudy
West Bengal,Darjeeling,2019-11-26,32.2,24.3,63.2,Clear
Rajasthan,Jaipur,2019-11-25,26.8,23.8,72.7,Humid
Rajasthan,Udaipur,2019-11-25,22.8,9.8,53.7,Clear
Andhra Pradesh,Visakhapatnam,2019-11-24,20.1,12.4,66.4,Cloudy
Tamil Nadu,Madurai,2019-11-24,20.7,7.7,51.6,Sunny
Kerala,Kochi,2019-11-23,26.2,3.0,56.9,Cloudy
Maharashtra,Pune,2019-11-23,26.3,23.3,72.2,Clear
Tripura,Agartala,2019-11-23,26.3,23.3,72.2,Clear
Uttar Pradesh,Noida,2019-11-23,18.3,20.4,64.3,Cloudy
Bihar,Bhagalpur,2019-11-22,27.7,9.6,58.5,Sunny
Gujarat,Vadodara,2019-11-22,24.2,21.2,70.1,Sunny
Assam,Dibrugarh,2019-11-21,29.3,11.2,60.1,Sunny
Kerala,Thiruvananthapuram,2019-11-21,32.9,20.1,49.0,Clear
Arunachal Pradesh,Naharlagun,2019-11-20,19.1,11.4,65.4,Clear
Assam,Guwahati,2019-11-20,19.8,1.7,50.6,Clear
Goa,Margao,2019-11-20,20.2,7.0,65.9,Sunny
Madhya Pradesh,Jabalpur,2019-11-20,27.2,9.3,73.3,Humid
Andhra Pradesh,Vijayawada,2019-11-19,32.2,4.3,63.3,Cloudy
Karnataka,Mysuru,2019-11-19,29.0,0.9,74.9,Sunny
Bihar,Patna,2019-11-18,30.8,17.6,46.4,Humid
Chhattisgarh,Raipur,2019-11-17,28.4,5.4,74.4,Sunny
Maharashtra,Nagpur,2019-11-17,31.9,18.9,62.8,Sunny
Tamil Nadu,Tiruchirappalli,2019-11-17,31.9,19.1,48.0,Cloudy
Bihar,Gaya,2019-11-16,19.2,6.0,64.9,Humid
Karnataka,Hubballi,2019-11-15,27.7,14.7,58.6,Humid
Kerala,Kozhikode,2019-11-15,24.3,21.3,70.2,Clear
Rajasthan,Jodhpur,2019-11-14,21.9,8.9,52.8,Sunny
Madhya Pradesh,Bhopal,2019-11-13,19.7,11.8,50.7,Sunny
Manipur,Imphal,2019-11-13,19.9,1.8,50.7,Humid
West Bengal,Kolkata,2019-11-13,30.9,17.9,61.8,Humid
Karnataka,Bengaluru,2019-11-12,25.3,2.3,71.3,Clear
Uttarakhand,Dehradun,2019-11-12,21.3,13.4,52.3,Sunny
West Bengal,Howrah,2019-11-12,21.4,8.4,52.3,Cloudy
Punjab,Amritsar,2019-11-11,30.5,12.4,61.3,Sunny
Uttar Pradesh,Agra,2019-11-10,20.9,7.9,51.8,Humid
Himachal Pradesh,Dharamshala,2019-11-09,29.6,6.8,60.8,Cloudy
Madhya Pradesh,Indore,2019-11-08,20.3,12.4,51.3,Humid
Chhattisgarh,Bilaspur,2019-11-07,33.0,0.0,64.0,Clear
Maharashtra,Nashik,2019-11-07,29.4,16.4,60.3,Cloudy
Odisha,Bhubaneswar,2019-11-07,29.4,16.4,60.3,Cloudy
Odisha,Rourkela,2019-11-07,29.5,11.4,60.3,Humid
Chhattisgarh,Durg,2019-11-06,19.9,6.9,50.8,Sunny
Delhi (NCT),New Delhi,2019-11-06,19.9,6.9,50.8,Sunny
Goa,Panaji,2019-11-05,18.3,5.1,64.0,Clear
Haryana,Gurugram,2019-11-05,25.5,22.5,71.4,Clear
Maharashtra,Mumbai,2019-11-05,28.9,15.9,59.8,Humid
Rajasthan,Kota,2019-11-05,33.0,24.9,48.7,Humid
Punjab,Ludhiana,2019-11-04,26.9,8.8,57.7,Sunny
Tamil Nadu,Chennai,2019-11-03,32.4,4.3,48.2,Humid
Uttarakhand,Nainital,2019-11-03,20.9,13.0,51.9,Sunny
Gujarat,Rajkot,2019-11-02,19.0,0.9,49.8,Clear
Andhra Pradesh,Tirupati,2019-11-01,28.0,10.1,74.1,Humid
Jharkhand,Dhanbad,2019-11-01,28.2,0.1,74.1,Sunny
Nagaland,Kohima,2019-11-01,24.3,6.2,55.1,Humid
Tamil Nadu,Coimbatore,2019-11-01,20.4,12.5,51.4,Cloudy
Uttar Pradesh,Lucknow,2019-10-31,25.7,17.8,56.7,Sunny
Haryana,Panipat,2019-10-30,27.5,9.4,58.3,Humid
Jharkhand,Ranchi,2019-10-30,20.3,17.3,66.2,Clear
Madhya Pradesh,Gwalior,2019-10-30,31.0,23.1,62.0,Clear
Mizoram,Aizawl,2019-10-30,20.1,2.0,50.9,Sunny
Sikkim,Gangtok,2019-10-29,18.0,25.0,48.8,Cloudy
Uttar Pradesh,Kanpur,2019-10-29,29.2,6.2,45.1,Sunny
Jammu and Kashmir,Srinagar,2019-10-29,21.1,8.3,67.3,Cloudy
Ladakh,Kargil,2019-10-29,18.3,10.2,64.1,Cloudy
Himachal Pradesh,Shimla,2019-10-28,23.3,5.4,69.4,Cloudy
Jharkhand,Jamshedpur,2019-10-28,19.4,11.5,50.4,Clear
West Bengal,Siliguri,2019-10-28,27.1,4.1,73.1,Cloudy
Ladakh,Leh,2019-10-28,31.4,3.1,62.0,Clear
Punjab,Chandigarh,2019-10-26,30.4,2.3,46.2,Humid
Telangana,Warangal,2019-10-26,26.4,13.4,57.3,Clear
Gujarat,Ahmedabad,2019-10-25,28.3,0.2,74.2,Clear
Meghalaya,Shillong,2019-10-25,28.0,15.0,58.9,Clear
Uttar Pradesh,Varanasi,2019-10-24,18.1,0.2,64.2,Cloudy
Assam,Silchar,2019-10-23,20.5,12.4,66.3,Clear
Haryana,Faridabad,2019-10-23,27.8,24.8,73.7,Sunny
Karnataka,Mangaluru,2019-10-23,24.0,1.0,70.0,Sunny
Nagaland,Dimapur,2019-10-23,20.4,17.4,66.3,Humid
Uttarakhand,Haridwar,2019-10-23,20.0,12.1,51.0,Cloudy
Andhra Pradesh,Guntur,2019-10-22,21.6,13.7,52.6,Cloudy
Gujarat,Surat,2019-10-21,23.7,15.6,69.5,Clear
Odisha,Cuttack,2019-10-21,31.1,23.0,46.8,Cloudy
Punjab,Jalandhar,2019-10-21,19.9,16.9,65.8,Clear
Delhi (NCT),Dwarka,2019-10-21,27.1,9.0,57.9,Humid
West Bengal,Darjeeling,2019-10-20,28.5,20.6,59.5,Sunny
Rajasthan,Jaipur,2019-10-19,23.1,20.1,69.0,Clear
Rajasthan,Udaipur,2019-10-19,19.1,6.1,50.0,Sunny
Andhra Pradesh,Visakhapatnam,2019-10-18,31.5,8.7,62.7,Humid
Tamil Nadu,Madurai,2019-10-18,32.1,4.0,47.9,Cloudy
Kerala,Kochi,2019-10-17,22.5,24.4,53.2,Humid
Maharashtra,Pune,2019-10-17,22.6,19.6,68.5,Sunny
Tripura,Agartala,2019-10-17,22.6,19.6,68.5,Sunny
Uttar Pradesh,Noida,2019-10-17,29.7,16.7,60.6,Humid
Bihar,Bhagalpur,2019-10-16,24.0,5.9,54.8,Cloudy
Gujarat,Vadodara,2019-10-16,20.5,17.5,66.4,Cloudy
Assam,Dibrugarh,2019-10-15,25.6,7.5,56.4,Cloudy
Kerala,Thiruvananthapuram,2019-10-15,29.2,16.4,45.3,Sunny
Arunachal Pradesh,Naharlagun,2019-10-14,30.5,7.7,61.7,Sunny
Assam,Guwahati,2019-10-14,31.2,23.1,46.9,Sunny
Goa,Margao,2019-10-14,31.6,3.3,62.2,Cloudy
Madhya Pradesh,Jabalpur,2019-10-14,23.5,5.6,69.6,Clear
Andhra Pradesh,Vijayawada,2019-10-13,28.5,0.6,59.6,Humid
Karnataka,Mysuru,2019-10-13,25.3,22.3,71.2,Cloudy
Bihar,Patna,2019-10-12,27.1,13.9,72.8,Clear
Chhattisgarh,Raipur,2019-10-11,24.7,1.7,70.7,Cloudy
Maharashtra,Nagpur,2019-10-11,28.2,15.2,59.1,Cloudy
Tamil Nadu,Tiruchirappalli,2019-10-11,28.2,15.4,74.4,Humid
Bihar,Gaya,2019-10-10,30.6,2.3,61.2,Clear
Karnataka,Hubballi,2019-10-09,24.0,11.0,54.9,Clear
Kerala,Kozhikode,2019-10-09,20.6,17.6,66.5,Sunny
Rajasthan,Jodhpur,2019-10-08,18.2,5.2,49.1,Cloudy
Madhya Pradesh,Bhopal,2019-10-07,31.1,8.1,47.0,Cloudy
Manipur,Imphal,2019-10-07,31.3,23.2,47.0,Clear
West Bengal,Kolkata,2019-10-07,27.2,14.2,58.1,Clear
Karnataka,Bengaluru,2019-10-06,21.6,23.7,67.6,Sunny
Uttarakhand,Dehradun,2019-10-06,32.7,9.7,48.6,Cloudy
West Bengal,Howrah,2019-10-06,32.8,4.7,48.6,Humid
Uttar Pradesh,Agra,2019-10-04,32.3,4.2,48.1,Clear
Himachal Pradesh,Dharamshala,2019-10-03,25.9,3.1,57.1,Humid
Madhya Pradesh,Indore,2019-10-02,31.7,8.7,47.6,Clear
Chhattisgarh,Bilaspur,2019-10-01,29.3,21.4,60.3,Sunny
Maharashtra,Nashik,2019-10-01,25.7,12.7,56.6,Humid
Odisha,Bhubaneswar,2019-10-01,25.7,12.7,56.6,Humid
Odisha,Rourkela,2019-10-01,25.8,7.7,56.6,Clear
Chhattisgarh,Durg,2019-09-30,27.9,112.9,67.1,Rainy
Delhi (NCT),New Delhi,2019-09-30,27.9,112.9,67.1,Rainy
Goa,Panaji,2019-09-29,28.5,35.8,80.3,Cloudy
